Input,Expected First,Expected Second,Found,Correct
पुष्पावली,पुष्,अवली,"[('पुष्प', 'अवली'), ('पुष्प', 'आवली')]",True
स्वाधीन,स्व,अधीन,"[('स्व', 'अधीन'), ('स्व', 'आधीन')]",True
भावार्थ,भाव,अर्थ,"[('भव', 'अर्थ'), ('भव', 'आर्थ')]",False
भोजनालय,भोजन,आलय,"[('भोजन', 'आलय')]",True
सत्याग्रह,सत्य,आग्रह,"[('सत्य', 'आग्रह'), ('सत्या', 'आग्रह')]",True
छात्रावास,छात्र,आवास,"[('छत्र', 'आवस'), ('छत्रा', 'आवस')]",False
दशानन,दश,आनन,"[('दश', 'आनन'), ('दशा', 'आनन')]",True
हिमालय,हिम,आलय,"[('हिम', 'आलय'), ('हिमा', 'आलय'), ('हिमाली', 'अ')]",True
गजानन,गज,आनन,"[('गज', 'आनन')]",True
पुस्तकालय,पुस्तक,आलय,"[('पुस्तक', 'आलय')]",True
यथार्थ,यथा,अर्थ,[],False
परीक्षार्थी,परीक्षा,अर्थी,"[('परीक्षा', 'अर्थी'), ('परीक्षा', 'आर्थी')]",True
मायाधीन,माया,अधीन,"[('मय', 'अधीन'), ('मय', 'आधीन')]",False
विद्यार्थी,विद्या,अर्थी,"[('विद्या', 'अर्थी'), ('विद्या', 'आर्थी'), ('विद्यार्थी', 'इ'), ('विद्यार्थी', 'ई')]",True
विद्याभ्यास,विद्या,अभ्यास,[],False
महात्मा,महा,आत्मा,"[('मह', 'आत्म'), ('महा', 'आत्म')]",False
विद्यालय,विद्या,आलय,"[('विद्या', 'आलय')]",True
वार्तालय,वार्ता,आलय,[],False
शिवालय,शिव,आलय,"[('शिव', 'आलय'), ('शिवा', 'आलय')]",True
मायाधीन,माया,अधीन,"[('मय', 'अधीन'), ('मय', 'आधीन')]",False
कवीन्द्र,कवि,इन्द्र,"[('कवि', 'इन्द्र')]",True
यतीन्द्र,यति,इन्द्र,"[('यति', 'इन्द्र'), ('यती', 'इन्द्र')]",True
कवीच्छा,कवि,इच्छा,"[('कवि', 'इच्छा')]",True
महीन्द्र,मही,इन्द्र,"[('महि', 'इन्द्र'), ('मही', 'इन्द्र')]",True
प्रतीक्षा,प्रति,ईक्षा,"[('प्रतीक्षा', 'अ'), ('प्रतीक्षा', 'आ'), ('प्रति', 'ईक्षा')]",True
परीक्षा,परि,ईक्षा,"[('परीक्षा', 'अ'), ('परीक्षा', 'आ'), ('परी', 'ईक्षा')]",False
अभीष्ट,अभि,इष्ट,"[('अभी', 'इष्ट')]",False
हरीश,हरी,ईश,"[('हरि', 'ईश'), ('हरी', 'ईश')]",True
नदीश,नदी,ईश,"[('नदी', 'ईश')]",True
योगीश्वर,योगी,ईश्वर,"[('योगी', 'ईश्वर')]",True
रजनीश,रजनी,ईश,"[('रजनी', 'ईश')]",True
नारीश्वर,नारी,ईश्वर,"[('नारी', 'ईश्वर')]",True
हरीश,हरी,ईश,"[('हरि', 'ईश'), ('हरी', 'ईश')]",True
हरीच्छा,हरी,इच्छा,"[('हरि', 'इच्छा'), ('हरी', 'इच्छा')]",True
सूक्ति,सु,उक्ति,"[('सू', 'उक्ति')]",False
भूर्जा,भू,ऊर्जा,"[('भू', 'ऊर्जा')]",True
भूर्ध्व,भू,ऊर्ध्व,"[('भू', 'ऊर्ध्व')]",True
भूर्ध्व,भू,ऊर्ध्व,"[('भू', 'ऊर्ध्व')]",True
सिन्धूर्मि,सिन्धु,ऊर्मि,"[('सिन्धु', 'ऊर्मि'), ('सिन्धू', 'ऊर्मि')]",True
लघूर्मि,लघु,ऊर्मि,"[('लघु', 'ऊर्मि')]",True
वधूत्सव,वधू,उत्सव,"[('वधू', 'उत्सव')]",True
पितृण,पितृ,ऋण,"[('पितृ', 'ऋण')]",True
मातण,मात,ऋण,[],False
नरेंद्र,नर,इन्द्र,"[('नर', 'इंद्र')]",False
नरेश,नर,ईश,"[('नर', 'ईश')]",True
देवेंद्र,देव,इन्द्र,"[('दवा', 'इंद्र')]",False
देवेश,देव,ईश,"[('दवा', 'ईश')]",False
महेन्द्र,महा,इन्द्र,"[('मह', 'इन्द्र'), ('महा', 'इन्द्र')]",True
उपेन्द्र,उप,इन्द्र,"[('उप', 'इन्द्र')]",True
गणेश,गण,ईश,"[('गण', 'ईश')]",True
रमेश,रमा,ईश,"[('रम', 'ईश'), ('रमा', 'ईश')]",True
वीरोचित,वीर,उचित,"[('वीर', 'उचित'), ('वीरा', 'उचित')]",True
जलोर्मि,जल,ऊर्मि,"[('जल', 'ऊर्मि'), ('जला', 'ऊर्मि')]",True
